"file","line","kind","issue","span"
"AL2026.md","486","display","4 unclosed [","$$ \begin{aligned} \text{following commutative diagram of solid arrows w..."
"AL2026.md","1582","display","1 unclosed {","$$ \begin{array}{c c c c c c c c c c c c c c c c c c c c c c c c c c c c..."
"AL2026.md","1807","display","1 unclosed {, 1 unclosed (, 1 unclosed \left","$$ M \coloneqq \left [ \frac{P^{\prime} ( g_{1} $$"
"AL2026.md","1813","display","2 extra }, 1 extra \right","$$ ( x )}{P^{\prime} ( g_{3} ) ( x )} | P^{\prime} ( s c_{1} ( I ) \oplu..."
"AL2026.md","1831","display","1 unclosed \left","$$ \mathbf k [ P ] ( 1^{\prime}, 2 ) \oplus \mathbf k [ P ] ( 1^{\prime}..."
"AL2026.md","1903","display","2 unclosed {","$$ \begin{aligned} P ( \alpha ) & = t^{\} [ a_{j i} P_{y_{j}, x_{i}} ]_{..."
"AL2026.md","1925","display","1 extra \right","$$ \begin{aligned} z_{1} & = \cdots \quad z_{s} & y_{1} & \cdots \quad y..."
"AL2026.md","2293","display","1 unclosed [","$$ M \coloneqq \quad [ 1, 0, 0 ] \overset{k}{\uparrow} \quad. \\ \quad k..."
"AL2026.md","2327","display","2 extra \right","$$ k [ \zeta ] \left ( \left [ p_{3, 2} \right | - p_{3, 2^{\prime}} \ri..."
"AL2026.md","2632","display","2 extra }","$$ \begin{array}{r l}{\Box_{A} \longrightarrow A^{\|}} \\{\downarrow} \\..."
"AL2026.md","730","inline","alignment & outside \begin{...} (parse error)","$P_{\text{sk} ( I )} \xrightarrow{\psi^{\ell}} P_{1} \xrightarrow{\text{..."
"AL2026.md","730","inline","2 unclosed \left","$P_{\text{sk} ( I )} \xrightarrow{\psi^{\ell}} P_{1} \xrightarrow{\text{..."
"AL2026.md","88","structure","136 display block(s) read as prose - $$ pairing broken upstream","(first at this line)"
"CDSM2009.md","245","display","closer before opener","$$ Y_{0} \times ( - \infty, a_{1} ] \cup_{f_{0}} Z_{1} \cup_{g_{1}} \dot..."
"CDSM2009.md","267","display","1 extra }","$$ \begin{array}{r l r l}{X_{0}^{0}} &{X_{1}^{1}} &{\cdots} &{X_{n - 1}^..."
"CDSM2009.md","273","display","3 extra }","$$ \begin{aligned}{[ X_{i-1}^i, X_{j-1}^j ]} &\leftrightarrow [a_i, a_j]..."
"CDSM2009.md","508","display","1 unclosed {","$$ \begin{array}{c c c c c c c c c c c c c c c c c c c c c c c c c c c c..."
"CDSM2009.md","520","display","1 extra }","$$ \begin{array}{r l r l}{H_{p} ( X_{0}^{0} )} &{\to} &{\cdots} &{\to} &..."
"CDSM2009.md","532","display","1 unclosed {","$$ \begin{array}{c c c c c c c c c c c c c c c c c c c c c c c c c c c c..."
"CDSM2009.md","544","display","2 extra }","$$ \begin{array}{r l r}{O r d_{r} ( f )} &{=} &{O r d_{d - r - 1}^{R} ( ..."
"CDSM2009.md","558","display","2 extra }","$$ \begin{array}{r l r}{O r d_{r} ( f )} &{=} &{R e l_{r + 1}^{0} ( - f ..."
"CDSM2009.md","582","display","2 extra }","$$ \begin{array}{r l r}{d_{B} ( O r d_{p} ( f ), O r d_{p} ( g ) )} &{\l..."
"CDSM2009.md","614","structure","8 display block(s) read as prose - $$ pairing broken upstream","(first at this line)"
"FH2024.md","357","display","closer before opener","$$ ![The image consists of a diagram with four different shapes and four..."
"FH2024.md","469","display","1 unclosed (","$$ The structure maps are, again, maps that are given by the universal p..."
"FH2024.md","192","structure","37 display block(s) read as prose - $$ pairing broken upstream","(first at this line)"
"HLWW2024.md","16","inline","1 extra )","$X ) \geq 5$"
"HLWW2024.md","16","inline","1 extra )","$X ) = 0$"
"HLWW2024.md","18","inline","1 extra )","$X ) = 0$"
"HLWW2024.md","34","inline","1 extra )","$) \omega$"
"HLWW2024.md","34","inline","2 unclosed (","$K 0 ( Z ) \to K 0 ( Z \pi 1 ( X$"
"HLWW2024.md","34","inline","2 extra )","$) \omega )$"
"HLWW2024.md","36","inline","1 unclosed (","$L ( * ) = L ( Z$"
"HLWW2024.md","36","inline","1 unclosed (","$L ( * ) = L ( Z$"
"HLWW2024.md","36","inline","1 unclosed (","$L ( * ) = L ( Z$"
"HLWW2024.md","36","inline","1 extra ]","$1 2 ] = 0$"
"HLWW2024.md","36","inline","1 extra ], 1 unclosed (","$1 2 ] \to L s ( Z$"
"HLWW2024.md","47","inline","1 unclosed (","$f ! ( \sigma$"
"HLWW2024.md","50","inline","1 unclosed (","$L n 1 / 2 ( Z ) = Z \times Z / 8 Z \tau \geq 0 L n ( Z$"
"HLWW2024.md","50","inline","1 unclosed (","$L s ( Z ) \to L n ( Z$"
"HLWW2024.md","60","inline","1 unclosed (","$( Z ) \to L s 1 / 2 ( X$"
"HLWW2024.md","61","inline","1 extra )","$P ) \geq$"
"HLWW2024.md","63","inline","1 unclosed (","$( P ) \to Ω d S ( P$"
"HLWW2024.md","63","inline","1 extra )","$P ) \geq$"
"HLWW2024.md","73","inline","1 unclosed (","$\tau \geq 0 L s ( Z ) \to L n 1 / 2 ( Z$"
"HLWW2024.md","75","inline","1 unclosed [, 1 unclosed (","$Ω S ( P ) \to Ω [ P \otimes \tau \geq 1 L ( Z$"
"HLWW2024.md","75","inline","1 unclosed (","$\tau \geq 1 L q ( Z ) \to L q ( Z$"
"HLWW2024.md","75","inline","1 unclosed [, 1 unclosed (","$( P ) \to Ω d - 1 [ P \otimes L q ( Z$"
"HLWW2024.md","115","inline","1 extra )","$X ) = 0$"
"HLWW2024.md","115","inline","1 extra )","$X ) =$"
"HLWW2024.md","115","inline","1 unclosed [, 1 unclosed (","$\simeq [ X \otimes \tau \leq 0 L q ( Z$"
"HLWW2024.md","115","inline","1 extra )","$X ) = 0$"
"HLWW2024.md","121","inline","1 extra )","$E ) = 0$"
"HLWW2024.md","123","inline","1 extra )","$) \to$"
"HLWW2024.md","123","inline","1 unclosed (","$f : M \to M ( Z$"
"HLWW2024.md","123","inline","1 unclosed (","$E \to M ( Z$"
"HLWW2024.md","137","inline","1 extra )","$E ) =$"
"HLWW2024.md","143","inline","1 extra )","$E ) =$"
"HLWW2024.md","143","inline","1 extra )","$E ) =$"
"HLWW2024.md","143","inline","1 unclosed (","$E \to M ( Z / 3$"
"HLWW2024.md","143","inline","1 extra )","$D E ) \to Ω d$"
"HLWW2024.md","143","inline","1 extra )","$- )$"
"HLWW2024.md","161","inline","1 unclosed (","$\simeq K ( Z /$"
"HLWW2024.md","161","inline","1 extra )","$E ) =$"
"HLWW2024.md","167","inline","1 unclosed (","$\pi 4 k - 1 ( L K$"
"HLWW2024.md","167","inline","1 extra )","$) \to \pi 4 k$"
"HLWW2024.md","173","inline","1 extra )","$\wedge p ) h Z \times p$"
"HLWW2024.md","173","inline","1 unclosed (","$\pi 4 k - 1 ( L K$"
"HLWW2024.md","194","inline","closer before opener","$) \sim = \Sigma M ( Z$"
"HLWW2024.md","194","inline","1 unclosed (","$f : M \to M ( Z$"
"HLWW2024.md","272","inline","1 extra )","$\pi ) = 0$"
"KGW2026.md","359","display","1 extra }, 1 unclosed (, 1 extra \right","$$ \begin{aligned} \Omega_{2}^{( N} ( L_{2} )} & = \, \begin{matrix} \xi..."
"KGW2026.md","251","structure","21 display block(s) read as prose - $$ pairing broken upstream","(first at this line)"
"MR2026.md","267","inline","1 unclosed [, 1 extra )","$T_1 = [0, 250)$"
"MR2026.md","305","inline","1 unclosed [, 1 extra )","$r_i(t) \in [0, L)^2$"
"MR2026.md","338","inline","1 unclosed [, 1 extra )","$\theta_i(t) \in [0, 2\pi)$"
"MR2026.md","358","inline","1 unclosed (","$( t = 0 . 0$"
"MR2026.md","358","inline","1 unclosed (","$( t = 9 . 5$"
"MR2026.md","447","inline","1 extra )","$t * ( \lambda ) \leq T max )$"
"QW2024.md","166","display","1 unclosed (","$$ \begin{pmatrix} 0 1 & 1 2 & 0 2 \\ & & \\ 0 & ( - 1 & 0 & - 1 \\ & 1 ..."
"QW2024.md","1247","display","1 unclosed [","$$ where \Delta q is the q -th combinatorial Laplacian. Therefore, the s..."
"QW2024.md","226","structure","42 display block(s) read as prose - $$ pairing broken upstream","(first at this line)"
"REF-MPH.md","288","structure","2 display block(s) read as prose - $$ pairing broken upstream","(first at this line)"
"REF-PH.md","185","display","1 unclosed {","$$ d_{b} ( d g m_{1}, d g m_{2} ) = \inf_{\ m a t h i n g{\ m} \left ( p..."
"REF-PH.md","499","display","1 unclosed \left","$$ \begin{aligned} P \left ( d_{b} \left ( d g m ( \text{Filt} ( X_{\mu}..."
"REF-PH.md","531","display","1 unclosed (","$$ \begin{aligned} b & < 2. \quad \text{we} \iota ( \rho \cdot \underbar..."
"REF-PH.md","623","display","2 extra ], 2 unclosed (","$$ \Lambda p ( t ) =      t - x + y t \in [ x - y, x ] x + y - t t ..."
"SGW2025.md","446","display","1 unclosed (","$$ 0 \longleftarrow I ( G ) \longleftarrow S ( - 2 )^{( \tbinom{t}{1}} \..."
"SGW2025.md","534","display","1 unclosed (","$$ \beta_{i, j} ( I ( G ) \, = \, \beta_{i, j} ( J ) \, + \, \beta_{i, j..."
"SGW2025.md","643","display","1 unclosed {","$$ \begin{array}{c c c c c c c c c c c c c c c c c c c c c c c c c c c c..."
"SGW2025.md","719","display","1 unclosed {","$$ \begin{array}{c c c c c c c c c c c c c c c c c c c c c c c c c c c c..."
"SGW2025.md","819","display","1 unclosed [, 1 extra )","$$ Thus P C is present (i.e. minimal over I t ) exactly for t \in [ b ( ..."
"SGW2025.md","308","structure","25 display block(s) read as prose - $$ pairing broken upstream","(first at this line)"
"STGW2024.md","138","structure","22 display block(s) read as prose - $$ pairing broken upstream","(first at this line)"
"WGW2023.md","341","display","1 unclosed \left","$$ \begin{aligned} e_{1 2} \ e_{2 3} \ e_{3 1} & & e_{1 2} \ e_{2 3} \ e..."
"WGW2023.md","357","display","1 unclosed {","$$ \begin{aligned} \text{has been formed, so we focus on the constructio..."
"WGW2023.md","369","display","1 unclosed (","$$ \begin{aligned} C o n s t r u c t o r \, |_{0} \, \P i g g e{2}{B} \,..."
"WGW2023.md","390","display","1 extra )","$$ \begin{aligned} e_{1 2 3} & & e_{3 3} & & 0 \, \Big ) \\ O_{2} = e_{1..."
"WGW2023.md","488","display","7 unclosed {, 3 extra )","$$ Notably, the Fiedler value (i.e., spectral gap) of L \delta ,\delta n..."
"WGW2023.md","377","structure","4 display block(s) read as prose - $$ pairing broken upstream","(first at this line)"
"GVPB2025.md","131","structure","2 display block(s) read as prose - $$ pairing broken upstream","(first at this line)"
"GVPB2025.md","139","structure","unmatched $$ delimiter (odd count 13)","(orphan at/after this line)"
